,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,NWFB-,,,,,,,,,,,,,,,,,,,,,
site_name,"~936 ka - 1.5 Ma basalt boulders in diamicton, cong test",,,,,,,,,,,,,,,,,,,,,
site_lat,15.62375,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,105.98576,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,232.2576,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1,mag compass orientation (IGRF corrected),     0,108,12.0,0.0,0.0,no,nan,7.0,2024.0,3.0,18.0,1.0,1.0,1.0,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392170402,insufficient data,106.6,nan
2,mag compass orientation (IGRF corrected),     0,301,52.0,0.0,0.0,no,nan,7.0,2024.0,3.0,18.0,1.0,1.0,1.0,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392170402,insufficient data,299.6,nan
3,mag compass orientation (IGRF corrected),     0,263,29.0,0.0,0.0,no,nan,7.0,2024.0,3.0,18.0,1.0,1.0,1.0,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392170402,insufficient data,261.6,nan
